text,label
"Три кредита, общая сумма 1.1 млн. Платить перестал 4 месяца назад. Хочу узнать про банкротство физлица.",консультация
"Долги перед МФО и банками. Около 500 тыс. Звонки коллекторов. Нужна консультация по законным вариантам.",консультация
"Есть справки о долгах. Хочу подготовить заявление и документы для банкротства. С чего начать?",подготовка_документов
"Документы почти все собраны. Нужна помощь с формулировками в заявлении и списком приложений.",подготовка_документов
"Не знаю, правильно ли заполнил заявление. Долг 1.3 млн, 4 кредитора. Нужна проверка перед подачей.",подготовка_документов
"Готов подавать документы в суд. Долг 2.2 млн. Нужна помощь с подачей и выбором СРО.",подача_заявления
"Заявление и приложения готовы. Хочу подать в арбитраж на следующей неделе. Нужна финальная проверка.",подача_заявления
"Пять кредитов, не плачу 5 месяцев. Сумма долга около 1 млн. Интересует банкротство.",консультация
"Долг по ипотеке 2 млн, ещё два потребительских. Банк требует продажи квартиры. Есть ли альтернатива?",консультация
"МФО и два банка. Долг 350 тыс. Просрочки. Хочу понять, могу ли подать на банкротство?",консультация
"Нужен список документов для банкротства. Долги 800 тыс., три кредитора.",подготовка_документов
"Собрал выписки и справки. Что ещё нужно для подачи заявления о банкротстве? Долг 1.6 млн.",подготовка_документов
"Проверьте мой пакет документов. Заявление написал сам. Долг 950 тыс., 3 кредитора.",подготовка_документов
"Документы проверены, готов к подаче. Нужна помощь с подачей в арбитражный суд. Долг 1.7 млн.",подача_заявления
"Подаю на банкротство на днях. Долг 2.5 млн, 5 кредиторов. Нужна консультация по процедуре после подачи.",подача_заявления
"Кредиты не плачу полгода. Общая сумма 600 тыс., два банка. Что лучше: реструктуризация или банкротство?",консультация
"Долги перед банками 1.2 млн. Есть просрочки. Хочу консультацию по банкротству физлица.",консультация
"Не могу платить по трём кредитам. Сумма 450 тыс. Куда обращаться за консультацией по банкротству?",консультация
"Какие документы нужны в первую очередь? Долг 1 млн, 4 кредитора. Хочу начать подготовку.",подготовка_документов
"Заполняю заявление о банкротстве. Нужна помощь с разделом о доходах и расходах. Долг 1.4 млн.",подготовка_документов
"Пакет документов готов. Нужна финальная проверка перед подачей. Долг 1.1 млн, 4 кредитора.",подготовка_документов
"Подаю заявление в арбитраж. Долг 2 млн. Нужна помощь с выбором суда и подачей онлайн.",подача_заявления
"Все готово к подаче. Долги 2.8 млн. Нужна консультация по дальнейшим шагам после принятия заявления.",подача_заявления
"Четыре кредита, не плачу 3 месяца. Долг около 550 тыс. Просрочки. Интересует банкротство.",консультация
"Ипотека и потребительский. Долг 1.9 млн. Банк давит. Нужна срочная консультация.",консультация
"Микрозаймы и один банковский кредит. Долг 300 тыс. Просрочки. Могу ли оформить банкротство?",консультация
"Составляю список документов. Долг 750 тыс., два банка. Какие справки запрашивать в первую очередь?",подготовка_документов
"Заявление написал. Нужна проверка на соответствие закону. Долг 1.25 млн, 5 кредиторов.",подготовка_документов
"Документы и заявление готовы. Нужна проверка перед подачей в суд. Долг 1.5 млн.",подготовка_документов
"Готов подавать. Долг 2.1 млн, 6 кредиторов. Как правильно подать заявление в арбитраж?",подача_заявления
"Заявление приняли к производству. Что делать дальше? Долг 2.3 млн.",подача_заявления
"Два кредита, долг 480 тыс. Просрочка 4 месяца. Хочу узнать про процедуру банкротства.",консультация
"Долги 1.6 млн, три банка. Платить не могу. Нужна консультация по банкротству.",консультация
"Не знаю с чего начать. Долги перед МФО и банком, всего 400 тыс. Просрочки. Консультация нужна.",консультация
"Какие документы прикладывать к заявлению? Долг 900 тыс., 3 кредитора. Начинаю подготовку.",подготовка_документов
"Собрал справки. Нужна помощь с заявлением о банкротстве. Долг 1.05 млн.",подготовка_документов
"Проверьте заявление перед подачей. Долг 1.35 млн, 4 кредитора. Документы приложены.",подготовка_документов
"Подаю в арбитраж на следующей неделе. Долг 2.4 млн. Нужна инструкция по подаче.",подача_заявления
"Документы подали. Жду определение суда. Долг 2.6 млн. Что будет дальше?",подача_заявления
